Rank,Name,Current Players,Peak Players,Hours Played
1,Counter-Strike: Global Offensive,793212,995163,434693361
2,Dota 2,585972,740784,330154559
3,PUBG: BATTLEGROUNDS,453328,535587,168861901
4,ELDEN RING,359239,952523,369420649
5,Apex Legends,286037,353623,137130563
6,Lost Ark,265267,962903,361543870
7,NARAKA: BLADEPOINT,119074,165976,44891170
8,Grand Theft Auto V,111258,147473,62089841
9,Dread Hunger,85776,96315,22926616
10,Wallpaper Engine,81290,90559,40718061
11,Team Fortress 2,76349,92526,54875578
12,Tom Clancy's Rainbow Six Siege,66809,108630,34250936
13,Rust,64434,134559,58117350
14,Yu-Gi-Oh!  Master Duel,64109,119337,37878310
15,MIR4,60840,61535,40816200
16,Destiny 2,54948,229002,71110906
17,War Thunder,51571,72842,28335331
18,Football Manager 2022,47708,68864,32037921
19,Warframe,44358,51047,22195160
20,Sid Meier's Civilization VI,43095,64639,28519826
21,ARK: Survival Evolved,41720,62662,28885185
22,PAYDAY 2,40662,47441,22819631
23,FIFA 22,36150,76713,29709636
24,Hearts of Iron IV,32280,57694,24505261
25,Dead by Daylight,31167,53766,25428434
